time,value,delta
1666469396,69,88883
1666469551,69,88992
1666469577,69,88971
1666469721,69,89069
1666469757,69,89058
1666469891,69,89146
1666469937,69,89145
1666470061,69,89223
1666470117,69,89232
1666470231,69,89300
1666470297,69,89319
1666470401,69,89377
1666470477,69,89406
1666470571,69,89454
1666470657,69,89493
1666470742,69,89532
1666470837,69,89580
1666470912,69,89609
1666471017,69,89667
1666471081,69,89685
1666471197,69,89754
1666471251,69,89762
1666471377,69,89841
1666471421,69,89839
1666471557,69,89928
1666471591,69,89916
1666471737,69,90015
1666471762,69,89994
1666471917,69,90102
1666471932,69,90071
1666472097,69,90189
1666472102,69,90148
1666472272,69,90271
1666472277,69,90230
1666472442,69,90348
1666472458,69,90318
1666472612,69,90425
1666472638,69,90405
1666472781,69,90501
1666472818,69,90492
1666472952,69,90580
1666472998,69,90579
1666473123,69,90658
1666473178,69,90666
1666473293,69,90735
1666473358,69,90753
1666473463,69,90812
1666473538,69,90840
1666473633,69,90889
1666473718,69,90927
1666473802,69,90965
1666473898,69,91014
1666473972,69,91042
1666474078,69,91101
1666474143,69,91120
1666474258,69,91188
1666474313,69,91197
1666474438,69,91275
1666474483,69,91274
1666474618,69,91362
1666474653,69,91351
1666474798,69,91449
1666474823,69,91428
1666474978,69,91536
1666474992,69,91504
1666475159,69,91624
1666475162,69,91581
1666475333,69,91705
1666475339,69,91665
1666475503,69,91782
1666475519,69,91752
1666475673,69,91859
1666475699,69,91839
1666475843,69,91936
1666475879,69,91926
1666476014,69,92014
1666476059,69,92013
1666476184,69,92091
1666476239,69,92100
1666476353,69,92168
1666476419,69,92187
1666476523,69,92245
1666476599,69,92274
1666476694,69,92323
1666476779,69,92361
1666476864,69,92400
1666476959,69,92448
1666477034,69,92477
1666477139,69,92535
1666477204,69,92554
1666477319,69,92622
1666477374,69,92631
1666477499,69,92709
1666477544,69,92708
1666477680,69,92797
1666477714,69,92785
1666477860,69,92884
1666477884,69,92862
1666478040,69,92971
1666478054,69,92939
1666478220,69,93058
1666478224,69,93016
1666478394,69,93139
1666478400,69,93099
1666478564,69,93216
1666478580,69,93186
1666478734,69,93293
1666478760,69,93273
1666478904,69,93370
1666478940,69,93360
1666479075,69,93448
1666479120,69,93447
1666479245,69,93525
1666479300,69,93534
1666479415,69,93602
1666479480,69,93621
1666479585,69,93679
1666479660,69,93708
1666479755,69,93757
1666479840,69,93795
1666479925,69,93834
1666480020,69,93882
1666480095,69,93911
1666480200,69,93969
1666480266,69,93989
1666480380,69,94056
1666480435,69,94065
1666480561,69,94144
1666480605,69,94142
1666480671,69,94161
1666480672,69,94116
1666480675,69,94072
1666480704,69,94055
1666480709,69,94013
1666480775,69,94033
1666480788,65,93999
1666480790,65,93955
1666480805,65,93923
1666480807,65,93879
1666480809,65,93834
1666480819,65,93798
1666480820,65,93752
1666480831,65,93717
1666480833,65,93672
1666480945,65,93738
1666480956,65,93702
1666480957,65,93657
1666480961,65,93614
1666480971,65,93578
1666480972,65,93532
1666480996,76,93510
1666480997,76,93464
1666481026,76,93447
1666481056,76,93430
1666481086,76,93414
1666481115,76,93396
1666481116,73,93351
1666481146,61,93335
1666481176,61,93318
1666481206,61,93302
1666481236,61,93285
1666481266,61,93269
1666481285,61,93241
1666481296,61,93206
1666481314,61,93177
1666481328,61,93145
1666481358,61,93128
1666481388,61,93112
1666481418,61,93095
1666481448,61,93079
1666481456,61,93040
1666481478,61,93016
1666481508,61,92999
1666481538,61,92983
1666481568,61,92966
1666481598,61,92950
1666481626,61,92931
1666481628,69,92887
1666481658,69,92870
1666481688,65,92854
1666481718,73,92837
1666481748,73,92821
1666481778,73,92804
1666481796,73,92776
1666481806,73,92739
1666481849,73,92736
1666481850,73,92690
1666481861,73,92655
1666481883,88,92630
1666481884,88,92585
1666481886,88,92540
1666481904,88,92512
1666481905,80,92466
1666481966,80,92481
1666482012,100,92480
1666482013,100,92435
1666482019,100,92395
1666482024,100,92353
1666482040,76,92323
1666482057,76,92293
1666482058,76,92248
1666482066,65,92209
1666482069,65,92166
1666482100,100,92150
1666482129,84,92133
1666482136,84,92093
1666482159,80,92070
1666482160,80,92024
1666482190,96,92008
1666482191,96,91962
1666482220,100,91945
1666482250,76,91928
1666482280,100,91912
1666482306,100,91891
1666482310,100,91849
1666482317,100,91809
1666482329,100,91775
1666482340,100,91739
1666482341,92,91694
1666482354,92,91660
