generation_time,C.NTP.offset,Difference
1407240427299.0,-70798.0,3342.0
1407240427312.0,-890.0,3335.0
1407240427318.0,1124.0,3320.0
1407240427333.0,714.0,3314.0
1407240427356.0,-65610.0,3317.0
1407240427374.0,50413.0,3314.0
1407240427390.0,105.0,3309.0
1407240427409.0,6683.0,3307.0
1407240427457.0,1378.0,3335.0
1407240427472.0,-23434.0,3329.0
1407240427499.0,-70798.0,3335.0
1407240427520.0,1124.0,3336.0
1407240427526.0,-890.0,3321.0
1407240427529.0,714.0,3303.0
1407240427551.0,-65610.0,3304.0
1407240427575.0,50413.0,3308.0
1407240427593.0,105.0,3305.0
1407240427613.0,6683.0,3304.0
1407240427617.0,1378.0,3288.0
1407240427654.0,-23434.0,3304.0
1407240427697.0,-70798.0,3326.0
1407240427708.0,1124.0,3316.0
1407240427732.0,714.0,3320.0
1407240427733.0,-890.0,3300.0
1407240427773.0,-65610.0,3319.0
1407240427775.0,50413.0,3301.0
1407240427780.0,105.0,3285.0
1407240427815.0,-23434.0,3299.0
1407240427852.0,6683.0,3315.0
1407240427858.0,1378.0,3301.0
1407240427879.0,-70798.0,3301.0
1407240427892.0,1124.0,3293.0
1407240427910.0,-65610.0,3291.0
1407240427951.0,714.0,3311.0
1407240427966.0,1378.0,3305.0
1407240427975.0,-890.0,3293.0
1407240427983.0,50413.0,3281.0
1407240428023.0,-23434.0,3300.0
1407240428052.0,105.0,3308.0
1407240428079.0,-70798.0,3315.0
1407240428086.0,6683.0,3301.0
1407240428094.0,1124.0,3288.0
1407240428098.0,714.0,3271.0
1407240428113.0,-890.0,3266.0
1407240428150.0,-65610.0,3282.0
1407240428171.0,1378.0,3282.0
1407240428186.0,6683.0,3277.0
1407240428221.0,-23434.0,3291.0
1407240428240.0,50413.0,3289.0
1407240428256.0,105.0,3284.0
1407240428298.0,-70798.0,3306.0
1407240428316.0,1124.0,3303.0
1407240428322.0,50413.0,3288.0
1407240428369.0,-65610.0,3315.0
1407240428373.0,714.0,3298.0
1407240428379.0,50413.0,3283.0
1407240428389.0,-890.0,3273.0
1407240428412.0,-23434.0,3275.0
1407240428435.0,105.0,3277.0
1407240428452.0,-70798.0,3273.0
1407240428503.0,1124.0,3304.0
1407240428519.0,1378.0,3299.0
1407240428522.0,1124.0,3281.0
1407240428523.0,714.0,3262.0
1407240428558.0,-890.0,3276.0
1407240428572.0,-65610.0,3269.0
1407240428592.0,50413.0,3268.0
1407240428612.0,1378.0,3268.0
1407240428640.0,105.0,3275.0
1407240428650.0,-23434.0,3264.0
1407240428706.0,-70798.0,3300.0
1407240428708.0,714.0,3281.0
1407240428715.0,1124.0,3267.0
1407240428725.0,1378.0,3256.0
1407240428747.0,-890.0,3258.0
1407240428772.0,-65610.0,3262.0
1407240428794.0,105.0,3263.0
1407240428811.0,-23434.0,3260.0
1407240428826.0,1378.0,3254.0
1407240428848.0,-70798.0,3255.0
1407240428875.0,6683.0,3261.0
1407240428901.0,-890.0,3267.0
1407240428909.0,-65610.0,3254.0
1407240428921.0,50413.0,3245.0
1407240428978.0,714.0,3282.0
1407240428982.0,6683.0,3265.0
1407240429017.0,105.0,3279.0
1407240429028.0,-23434.0,3269.0
1407240429050.0,1124.0,3271.0
1407240429052.0,6683.0,3252.0
1407240429094.0,-70798.0,3273.0
1407240429101.0,6683.0,3260.0
